Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2011,9/24/2011,9/19/2011,"Wayne's Welding Service, Monahans, TX 79756",Worker helping to install a 30-foot water tower was killed when the tower fell on him.
FY 2011,9/24/2011,9/20/2011,"Gedek Trailer, Indianapolis, IN 46201",Worker was possibly electrocuted after being found with small electrical burns on hip.
FY 2011,9/24/2011,9/20/2011,"Halliburton Energy Services, Carlsbad, NM 88220",Worker was fatally injured when a blowout preventer fell and struck him on the head.
FY 2011,9/24/2011,9/20/2011,"Morrow Meadows Corp., Los Angeles, CA 90045",Worker was electrocuted while installing new wires.
FY 2011,9/24/2011,9/20/2011,"Riverview LLC, Hancock, MN 56267",Worker was killed after hitting a tree while driving an ATV on the work site.
FY 2011,9/24/2011,9/20/2011,"Sharon Gulf Club, Sharon Center, OH 44274",Worker was killed after the golf cart he was operating collided with a tractor.
FY 2011,9/24/2011,9/21/2011,"Mid-State Equipment, Inc., Jackson, WI 53037","Worker making repairs underneath a piece of equipment was killed when the equipment fell, crushing him."
FY 2011,9/24/2011,9/21/2011,"Otis Elevator Company, Brookwood, AL 35444",Worker performing operations on top of an elevator car was struck and killed by another elevator car.
FY 2011,9/24/2011,9/21/2011,"Wedekemper's Construction, Inc., Pinckneyville, IL 62274",Worker died when struck-by or caught between a grain elevator leg that was under construction.
FY 2011,9/24/2011,9/21/2011,"Yellow Brick Properties, LLC., Springfield, MA 01109",Worker making repairs to a residential building died after falling from a 34-foot ladder.
FY 2011,9/24/2011,9/23/2011,"QTI Management Services, Inc., Madison, WI 53714",Worker died after being found unconscious at the bottom of a staircase.
FY 2012,10/1/2011,2/21/2011,"Viking Coca Cola Bottling Company, St. Cloud, MN 56303",Worker at a soda bottling company was found dead inside a walk-in freezer.
FY 2012,10/1/2011,7/26/2011,"Calvin Crest Conference, Oakhurst, CA 93636",Rock climbing instructor died after falling from a 26-foot tower.
FY 2012,10/1/2011,8/22/2011,"20/20 Real Estate Review, Inc., Sahuarita, AZ 85629",Worker fell off a ladder.
FY 2012,10/1/2011,8/25/2011,"Unknown, Boulder City, NV 89006",Worker towing an airplane crashed into a building at an airport.
FY 2012,10/1/2011,8/28/2011,"Princeton First Aid & Rescue, Princeton, NJ 08540","Worker, attempting to rescue a trapped motorist in fast moving water, drowned after being separated from his tether."
FY 2012,10/1/2011,8/29/2011,"Mauna Loa Macadamia Nut Corporation, Keanu, HI 96749",Worker died when he struck a tree after crossing the center line on a private road.
FY 2012,10/1/2011,9/6/2011,"Bryan Shirk, Upper Arlington, OH 43221","Worker was trimming trees from a truck-mounted basket lift, and was killed after being thrown from the basket and falling nearly 30 feet to the ground."
FY 2012,10/1/2011,9/10/2011,"APER Construction, Port of Miami, FL 33132",Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.
FY 2012,10/1/2011,9/19/2011,"KG Construction, Saltsburg, PA 15681",Worker moving an aluminum materials lift was killed when the lift touched an energized powerline.
FY 2012,10/1/2011,9/20/2011,"A-1 Tree and Landscape, Lansing, MI 48911","Worker cutting trees died after a falling branch struck him, causing him to fall 40 feet."
FY 2012,10/1/2011,9/20/2011,"Al and John, Inc., T/A Glen Rock Hams, Paterson, NJ 07503",Worker cleaning a meat mixer died when he fell into the machine.
FY 2012,10/1/2011,9/21/2011,"Gozip LLC, Hilo, HI 96720",One worker was killed and another worker was hospitalized after a zipline tower collapsed.
FY 2012,10/1/2011,9/22/2011,"Aloha Tree Experts, Kailua, HI 96734",Worker was killed when he fell 28 feet from a tree that fell over at its base.
FY 2012,10/1/2011,9/23/2011,"George Pagany Farms, West Sacramento, CA 95691",Field laborer died from possible heat illness.
FY 2012,10/1/2011,9/23/2011,"Witten Logging Co., Tehachapi, CA 93561",Logger cutting trees was struck and killed by a large falling limb.
FY 2012,10/1/2011,9/24/2011,"E &R Construction, Washington Boro, PA 17582",Worker died from head injuries when he slipped and fell 15 feet from a ladder.
FY 2012,10/1/2011,9/26/2011,"Demas Enterprises, Inc., Dallas, TX 55210",Worker who was cleaning while standing on the roof of a gondola lift died after striking his head and falling off the lift.
FY 2012,10/1/2011,9/26/2011,"GreenLeaf's Tree Service, Inc., Chelmsford, MA 01824",Worker performing tree removal activities died after falling 70 feet while climbing from a crane to the tree.
FY 2012,10/1/2011,9/26/2011,"Mohawk Industries, Orlando, FL 32819",Worker was found unresponsive on a warehouse floor.
FY 2012,10/1/2011,9/26/2011,"Murphy-Brown, LLC, Laurinburg, NC 28352",Worker trying to access an auger motor died after becoming entangled in the machine.
FY 2012,10/1/2011,9/27/2011,"Blooming Prairie Well Co., Blooming Prairie, MN 55917",Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.
FY 2012,10/1/2011,9/27/2011,"Monroe Drywall Construction, Panama City, FL 32405",Worker installing drywall was electrocuted when he touched a 480-volt wire.
FY 2012,10/1/2011,9/28/2011,"Performance Welding & Machine, Fresno, CA 93725",Worker was electrocuted while using a welder that was not grounded properly.
FY 2012,10/1/2011,9/28/2011,"R & R Construction, Inc., Westlake, LA 70669",Worker attempting to attach slings from a metal bar to a crane was electrocuted when he touched an energized bus bar.
FY 2012,10/1/2011,9/30/2011,"F & T Farms, Caruthers, CA 93609",Worker operating a farm vehicle was killed when he hit a gate and a metal pipe struck his head.
FY 2012,10/8/2011,8/12/2011,"Nicholas Cable Communications, Terre Haute, IN 47801",Worker discovered unconscious while using a trencher to install underground TV cable.
FY 2012,10/8/2011,9/19/2011,"The Indian Club, Irons, MI 49644",Worker suffered burns and died from asphyxiation after a storage facility fire.
FY 2012,10/8/2011,9/21/2011,"Livengood Excavators, Palmerton, PA 18071","Worker was killed when his dump truck overturned, rolled down a hill and landed on top of him."
FY 2012,10/8/2011,9/21/2011,"Stevens Electric & Pump Service, Inc., Kennebunkport, ME 04046",Two workers died from overexposure to hydrogen sulfide while inside a sewer tank.
FY 2012,10/8/2011,9/22/2011,"Reproduction Services, Inc., Stillwater, OK 74075","Worker, on the roof of a barn he was building, died when he fell through a skylight, hitting the floor below."
FY 2012,10/8/2011,9/29/2011,"Integral Bldrs LLC, Dewitt, MI 48820","Worker building an addition on a barn was electrocuted after touching a 4,800-volt powerline."
FY 2012,10/8/2011,9/30/2011,"Austin Tyler Construction, LLC., Lockport, IL 60441",Worker was struck by a truck.
FY 2012,10/8/2011,9/30/2011,"Commercial Construction, Inc., Kearney, NE 68924",Worker using a dozer to fill a lake with sand drowned when the sand could not support the equipment's weight.
FY 2012,10/8/2011,9/30/2011,"Greenstar Recycling, Northampton, PA 18067",Worker performing maintenance on a baler was killed when falling cardboard caused him to fall back onto a protruding machine part.
FY 2012,10/8/2011,9/30/2011,"Steve Wolota General Contractor, McKees Rocks, PA 15136",Worker performing roofing work died after falling more than 10 feet to the ground.
FY 2012,10/8/2011,10/3/2011,"TNK & Servives, Inc., Sonora, TX 76950","Worker checking an air leak underneath a truck was killed when the vehicle ran over him, dragging him 80 feet."
FY 2012,10/8/2011,10/4/2011,"US Army Environmental Division, Trinidad, CO 81082",Worker was injured during a vehicle accident.
FY 2012,10/8/2011,10/5/2011,"All Tree, Brenham, TX 77833",Worker using a pole saw to trim trees was electrocuted when the saw touched a powerline.
FY 2012,10/8/2011,10/5/2011,"Power Source, Zionsville, IN 46077",Worker died after falling 22 feet when an open basket door became caught.
FY 2012,10/15/2011,9/15/2011,"LVI Environmental Services, Seattle, WA, 98121",Worker removing debris with skid loader died when punctured in the neck by protruding rebar.
FY 2012,10/15/2011,9/19/2011,"Furrer Construction Inc., Woodland, WA, 98674",Worker pressure washing exterior of silo was electrocuted after contacting a high voltage line.
FY 2012,10/15/2011,9/26/2011,"Kenai Drilling Limited, Ventura, CA, 93001",Worker was crushed by a piece of drill equipment while working in oilfields.
FY 2012,10/15/2011,9/29/2011,"Greenes, Inc., Draper, UT, 84020",Worker hit and killed by dump truck while removing temporary traffic control barrels.
FY 2012,10/15/2011,10/4/2011,"Gregory Dodge (DBA), Munnsville, NY, 13409",Worker died from head injuries after falling from a roof.
FY 2012,10/15/2011,10/4/2011,"Novelis Corporation, Oswego, NY, 13126-0028",Worker was connecting hoses inside a machine and was crushed between the machine's support block and bulkhead.
FY 2012,10/15/2011,10/5/2011,"Wayne Farms, LLC., Decatur, AL, 35602",Worker was crossing a road on company property and was struck and killed by a vehicle.
FY 2012,10/15/2011,10/6/2011,"Dean A. Bowman, Construction, Inc., Troy, OH, 45373",Worker performing indoor construction died when he fell nearly 20 feet from the second floor to the basement.
FY 2012,10/15/2011,10/6/2011,"IRBY Construction Company, Sandersville, GA, 31082",Worker assisting on a power transmission line was electrocuted when he touched a loose cable.
FY 2012,10/15/2011,10/6/2011,"Kelley Trucking, Inc., Bailey, CO,. 80421",Worker was struck and killed by a rock while at a construction site.
FY 2012,10/15/2011,10/7/2011,"Airtite Insulation, Goshen, IN, 46528",Worker suffocated after falling into a pit of insulation.
FY 2012,10/15/2011,10/7/2011,"B & B Contracting, Inc., Paintsville, KY, 41240",Worker traveling to another work location fell out of back of truck and struck head on ground.
FY 2012,10/15/2011,10/7/2011,"Jeff Rotella Transport Corp., Manheim, PA, 17545",Worker disconnecting an airline underneath a truck was asphyxiated when his head was caught between the spare tire and a bracket.
FY 2012,10/15/2011,10/7/2011,"Soil & Material Testing, Inc., Williamstown, MA, 01267",Worker was crushed under the front and rear tires of a powered industrial vehicle.
FY 2012,10/15/2011,10/8/2011,"Mondi USA, Inc., Romeoville, IL, 60446",Worker lubricating a chain on an automation conveyor died after falling 9 feet from an I-beam to the concrete floor.
FY 2012,10/15/2011,10/10/2011,"Gulf Island, LLC., Houma, LA, 70361",Worker was killed when a load of metal plates he was moving fell on top of him.
FY 2012,10/15/2011,10/10/2011,"Roger Kreps Drywall & Plaster, Lisbon, OH, 44432",Worker died after falling 14 feet from a roof onto the concrete floor.
FY 2012,10/15/2011,10/10/2011,"Unnerstall Contracting Co., St. Louis, MO, 63146",Worker was found unconscious in a manhole.
FY 2012,10/15/2011,10/10/2011,"Woodhaven Industries, Sugar Land, TX, 77498",Worker died of a possible heart attack after collapsing while unloading his work truck.
FY 2012,10/15/2011,10/12/2011,"Centimark Corporation, Lima, OH, 45804",Worker was performing roofing work on a melt shop and was fatally injured.
FY 2012,10/15/2011,10/12/2011,"Community Recycling and Resource Recovery, Lamont, CA, 93241",Worker died after being overcome by toxic fumes while cleaning the inside of a drain pipe.
FY 2012,10/15/2011,10/12/2011,"Granite Rock Concrete, La Honda, CA, 94020",Worker was killed when the loaded concrete mixer truck he was driving rolled over.
FY 2012,10/15/2011,10/12/2011,"L & D Sign, Centreville, MN, 55038",Worker repairing commercial sign was electrocuted after touching live electrical parts.
FY 2012,10/15/2011,10/13/2011,"Egan Company, Burnsville, MN, 55337",One worker killed and one injured after being struck by a vehicle that entered a construction zone after going off road.
FY 2012,10/15/2011,10/13/2011,"General Mills, Inc., Lodi, CA, 95242",Worker attempting to stop a moving railcar was crushed between railcar and dock.
FY 2012,10/15/2011,10/13/2011,"PG & E, Bolden, CA, 95915",Two workers died after their work truck sank 25 feet in a reservoir.
FY 2012,10/15/2011,10/14/2011,"Visions Telecommunications, Pinch, WV, 25156",Worker installing cable between utility poles was electrocuted.
FY 2012,10/22/2011,9/30/2011,"Art Rodriguez, Colfax, IA, 50054",Roof worker died when he fell 20 feet after stepping on a fiberglass skylite.
FY 2012,10/22/2011,10/2/2011,"The Associated Press, Sparta, KY, 41086",Photographer on assignment at a race track suffered fatal head injuries after falling on track.
FY 2012,10/22/2011,10/4/2011,"Klin Drying Systems and Components, Inc., Etowah, NC, 28729",Worker operating a metal cutting machine was killed when caught between machine's back gauge and top plate.
FY 2012,10/22/2011,10/5/2011,"Stovens Brothers Water Wells, Hampden, MA, 01036",Worker drilling a hole for a well died after he stepped back and fell 10 feet down into water.
FY 2012,10/22/2011,10/13/2011,"Grove River Mills, Inc., Monroe, GA, 30656","Worker operating a truck's boom was electrocuted when the boom touched a 14,400-volt power line."
FY 2012,10/22/2011,10/13/2011,"Sams Discount Grocery, Inc., Tampa, FL, 33610",Worker was shot and killed during a robbery.
FY 2012,10/22/2011,10/13/2011,"Walden General Contractors Inc., Lebanon, TN, 37090",Worker died after falling down a flight of stairs.
FY 2012,10/22/2011,10/13/2011,"Walker Police/Fire Department, Walker, MI, 49534",Police Officer laying a spike strip was run over and killed by suspect vehicle during police chase.
FY 2012,10/22/2011,10/15/2011,"W.A. Klinger, L.L.C., Sioux City, IA, 51104-2324","Construction worker died from fatal head trauma when a wall collapsed, crushing him."
FY 2012,10/22/2011,10/17/2011,"Moores Contracting Services LLC, Buckhannon, WV, 26201",Worker died after falling 35 feet through the doorway of a silo-type structure.
FY 2012,10/22/2011,10/17/2011,"PCH Hotels and Resorts, Inc., Mobile, AL, 36602",Worker was electrocuted while repairing a hotel room air conditioning unit.
FY 2012,10/22/2011,10/18/2011,"Complete Coverage Inc., North Kingstown, RI, 02852",Worker replacing a roof was killed after falling 47 feet.
FY 2012,10/22/2011,10/19/2011,"All-Town, Incorporated, Marshfield, MA, 02050",Worker rotating truck tires was killed when one of the rings holding the tire in place struck him in the head.
FY 2012,10/22/2011,10/19/2011,"Blackowiak Disposal Inc., Mound, MN, 55364",Worker removing debris from back of trash truck was crushed between truck's cart tipper and the loading dock.
FY 2012,10/22/2011,10/19/2011,"Performance Abatement Service, Berkeley, CA, 94709",Worker in full suit and mask died from a seizure while removing asbestos.
FY 2012,10/22/2011,10/20/2011,"Calpine, Middletown, CA, 95461",Worker went off a cliff.
FY 2012,10/22/2011,10/20/2011,"Mark Dewsnup, General Contractor, Marysville, CA, 95901",Worker was killed after he was run over by a farm tractor.
FY 2012,10/22/2011,10/21/2011,"K.P. Meiring Company, St. Augustine, FL, 32084",Worker repairing a roof died after stepping on a metal sheet that covered a hole and falling 20 feet.
FY 2012,10/29/2011,10/3/2011,"Landmark Pacific Builders Inc., Honolulu, HI, 96817",Residential construction worker renovating roof died after falling two stories.
FY 2012,10/29/2011,10/15/2011,"Boat Grotto, San Diego, CA, 92115",Mechanic died from possible aneurism and heart attack after making repairs to boat engine.
FY 2012,10/29/2011,10/16/2011,"Esther's 103, Inc., Miami, FL, 33150",Worker trying to replace pumps inside a manhole collapsed and later died from exposure to toxic air.
FY 2012,10/29/2011,10/17/2011,"Cherokee Freight Lines Stockton, LLC, St. Helena, CA, 94574","Worker tripped and fell while walking on job site, hitting his head on a step. Worker later suffered a heart attack at hospital."
FY 2012,10/29/2011,10/18/2011,"Advantage Plumbing & Heating, Inc., Mencken, ND, 58558",Trench engulfment.
FY 2012,10/29/2011,10/19/2011,"Midco Diving & Marine Services, Inc., Parshall, ND, 58770",Water treatment plant worker diving into a 138-foot-deep chamber to perform maintenance died after his umbilical line failed.
FY 2012,10/29/2011,10/20/2011,"Hilltop Tune, Inc., Pelham, AL, 35124",Worker repairing an SUV was killed when the truck slipped into gear and ran over him.
FY 2012,10/29/2011,10/20/2011,"Metro Construction, Mckenzie, ND, 58854",Truck driver hauling gravel was killed when his truck tipped over.
FY 2012,10/29/2011,10/20/2011,"NYSDOT Bridge Maintenance Shop, Warrensburg, NY, 12885",Worker inspecting a bridge died after he was pinned between bridge and lift basket.
FY 2012,10/29/2011,10/21/2011,"Hilario Valero, San Antonio, TX, 78245",Worker applying siding on a chimney died after falling 18 feet.
FY 2012,10/29/2011,10/21/2011,"Lawrence Construction & Leasing, Inc., Florence, KY, 41042","Pipe layer was killed when a testing machine he was using swung around, striking him in the head."
FY 2012,10/29/2011,10/22/2011,"A-1 Self Storage LLC, Seattle, WA, 98119",Manager of self storage facility was stabbed during a robbery.
FY 2012,10/29/2011,10/22/2011,"Sante Shipping Lines, Inc., Miami, FL, 33142",Worker inspecting a vessel's cargo from a suspended man basket died after equipment failure caused him to fall 18 feet to the ground.
FY 2012,10/29/2011,10/23/2011,"Quality Castings, Orrville, OH, 44667",Worker using a wheelabrator machine died of complications sustained when his finger was amputated.
FY 2012,10/29/2011,10/24/2011,"Orestes Lescano, Miami, FL, 33130",Worker installing weather stripping at an apartment building was killed after falling 40 feet.
FY 2012,10/29/2011,10/25/2011,"American Building, LLC., Stamford, CT, 06902",Worker installing metal roof panels died from head injuries after falling 35 feet to the ground.
FY 2012,10/29/2011,10/25/2011,"Cumberland Garage and Trash Service, Inc., Fayetteville, NC, 28306",Worker riding on rear of trash truck was killed when he fell under the truck traveling in reverse.
FY 2012,10/29/2011,10/25/2011,"Dickson Dept. of Public Works, Dickson, TN, 37055",Worker was struck ad killed by a falling tree limb.
FY 2012,10/29/2011,10/25/2011,"EAL Fig LLC dba 5-Point Tire & Auto Repairs, Camden, NJ, 08105-3855",Worker was struck and killed when a tool disk struck him in the chest.
FY 2012,10/29/2011,10/25/2011,"G & S Paving, Palo Alto, CA, 94304",Worker was run over by a semi-truck traveling in reverse.
FY 2012,10/29/2011,10/25/2011,"Nucor, Crawfordsville, IN, 47933",Worker was run over and killed by machine.
FY 2012,10/29/2011,10/26/2011,"Simon Roofing and Sheet Metal Corp., Charlotte, NC, 28262",Worker unclogging trash chute died after falling 40 feet when the chute collapsed.
FY 2012,10/29/2011,10/28/2011,"Harris Quality Inc., Fort Worth, TX, 76140",Worker was found crushed between truck and loading dock.
FY 2012,10/29/2011,10/29/2011,"Anibal Landscaping Corp., Jamaica, NY, 11435",Landscape worker riding in the back of a truck died from carbon monoxide fumes after he used a gas-powered lawn mower to keep warm.
FY 2012,11/5/2011,10/10/2011,"D & H Pump Service, dba D&H Petroleum and Environ, Albuquerque, NM 87113",Worker died from injuries sustained when a fuel dispenser fell on him.
FY 2012,11/5/2011,10/24/2011,"R.L. Mitchell, Lyons, GA 30436",Worker installing metal roof panels on a warehouse building died after falling 21 feet through a roof opening.
FY 2012,11/5/2011,10/27/2011,"Noble Casing Incorporated, Watford City, ND 58854",Worker was killed in a vehicle roll-over incident while enroute to a job site.
FY 2012,11/5/2011,10/27/2011,"Walter R Lindenmuth Lumber & Supply, LLC, Green Point, PA 17038",Worker changing knife blades on a wood chipper was killed when he was caught between the chipper's spout and mounting plate.
FY 2012,11/5/2011,10/28/2011,"Arberia, LLC, Lakewood, OH 44107",Worker was killed when he fell 15 feet from a collapsed roof.
FY 2012,11/5/2011,10/28/2011,"Intercounty Paving Associates of NY, LLC, Hicksville, NY 11801",Worker was struck by a motor vehicle.
FY 2012,11/5/2011,10/29/2011,"Bartlett Grain Company, LP, Atchison, KS 66002",Four workers were killed in a grain elevator explosion and fire.
FY 2012,11/5/2011,10/29/2011,"Kansas Grain Inspection Services, Inc., Atchison, KS 66002",Two workers were killed while performing grain inspection services at a grain elevator when an explosion occurred.
FY 2012,11/5/2011,10/30/2011,"Yorkville Gin Company, Yorkville, TN 38389",Worker was crushed by a lift box while fixing a hydraulic leak on a press.
FY 2012,11/5/2011,10/31/2011,"BJB Properties, Chicago, IL 60657",Worker was found unresponsive in a stairwell of the building where he worked.
FY 2012,11/5/2011,11/1/2011,"Avalon Commons, Smithtown, NY 11787",Worker pumping sludge out of a sewage treatment tank died after falling into tank.
FY 2012,11/5/2011,11/1/2011,"Exterran, Houston, TX 77086",Worker inspecting a large gas compressor fan was crushed when the fan fell on him.
FY 2012,11/5/2011,11/1/2011,"Shintech Louisiana, LLC, Plaquemine, LA 70710",Worker was crushed by a 15-ton crane.
FY 2012,11/5/2011,11/1/2011,"Tree Solution Incorporated, Houston, TX 77069",Worker died after he was hit by a falling tree.
FY 2012,11/5/2011,11/2/2011,"Ivy Tech Community College, Lafayette, IN 47903",Worker fell while climbing tower.
FY 2012,11/5/2011,11/2/2011,"United Elevator Services, LLC, Memphis, TN 38103",Mechanic was crushed between elevator and hoistway while riding on top of elevator's cab.
FY 2012,11/5/2011,11/3/2011,"Gordys Pump Service, Spring Valley, WI 54767",Worker connecting a newly installed pipe line inside of a trench died when the trench caved in.
FY 2012,11/5/2011,11/3/2011,"Paul Mueller Company, Springfield, MO 65802",Worker serving as a spotter was crushed between a truck and tractor trailer.
FY 2012,11/5/2011,11/3/2011,"WS Packaging Group, Inc., Franklin, PA 16323","Worker using a flammable solvent to clean a mixer blade was killed when a piece of equipment ignited the solvent, causing a flash fire."
FY 2012,11/12/2011,10/7/2011,"Agustin Valladares Tree Trimming, Thousand Oaks, CA 91361",Tree trimmer died from head injuries after falling 30 feet from a tree.
FY 2012,11/12/2011,10/13/2011,"West New York Restoration of CT, Inc., New York, NY 10019",Worker installing a fall protection safety line died after touching a live wire while on a ladder and falling 92 feet.
FY 2012,11/12/2011,10/25/2011,"G &S Paving, Palo Alto, CA",Worker struck by truck travelling in reverse.
FY 2012,11/12/2011,10/25/2011,"Yubas Construction, Johnstown, PA 15906",Worker died from head and spinal injuries after falling 20 feet from a roof.
FY 2012,11/12/2011,10/26/2011,"Dennis Stearns Concrete, Vernal, UT 84078",Worker lifting a 21-foot pipe died from head trauma after the pipe fell and hit his head.
FY 2012,11/12/2011,10/28/2011,"Dependable Highway Express Inc., Los Angeles, CA 90023",Worker died after falling off dock while trying to stop an out of control forklift.
FY 2012,11/12/2011,10/28/2011,"J.J. Tree Service and Landscaping, Monroeville, PA 15146",Worker died when he suffered a severe laceration to his leg while cutting tree branches.
FY 2012,11/12/2011,11/1/2011,"Indianapolis Logistics LLC, Indianapolis, IN 46219",Maintenance worker received fatal injuries in electric pallet jack accident.
FY 2012,11/12/2011,11/2/2011,"Western Dairy Transport, LLC, Portales, NM 88130",Worker was killed when strong winds caused the door of a transport trailer to strike him.
FY 2012,11/12/2011,11/3/2011,"S.J. Louis Construction of Texas Ltd., LLP., Fairview, TX 75069",Two workers performing maintenance work on a sewer line died from exposure to a hazardous atmosphere after entering a manhole.
FY 2012,11/12/2011,11/3/2011,"Trucano Construction Company, Juneau, AK 99801",Worker loading construction equipment died when he was caught between a toppled crane and a railing off the deck barge.
FY 2012,11/12/2011,11/4/2011,"Sun Chemical Corporation, Muskegon, MI 49442","Worker was crushed by a 1,500 pound bag of pigment that fell on him."
FY 2012,11/12/2011,11/4/2011,"U-Haul International, Inc., Philadelphia, PA 19138",Worker was crushed underneath a portable storage container after the container tipped over.
FY 2012,11/12/2011,11/5/2011,"American Biltrite, Inc., Moorestown, NJ 08057",Worker was crushed in a coating machine.
FY 2012,11/12/2011,11/6/2011,"Midwest Coatings, LLC, Branson, MO 65616",Worker applying fire retardant material to steel beams of an apartment complex died after falling from the elevated platform.
FY 2012,11/12/2011,11/6/2011,"Suchocki & Son, Inc., Lisbon, CT 06351",Worker performing tree maintenance was run over and killed by an excavator.
FY 2012,11/12/2011,11/7/2011,"BND Transport LLC, Mantera, CA 95336",Worker disconnecting a garbage trailer from a tractor was killed when the tractor and trailer ran over him.
FY 2012,11/12/2011,11/7/2011,"Horizon Energy Services, Foraker, OK 74652",Worker on an oil/gas well drilling rig was struck and killed by a block that fell to the rig floor.
FY 2012,11/12/2011,11/7/2011,"Horn Packaging Corporation, Lancaster, MA 01523",Worker died after becoming entangled in the unguarded shaft of a gluing machine.
FY 2012,11/12/2011,11/7/2011,"OAS Rigging Crane Corp, Mayaguez, PR 00680",Worker cutting a beam to a water tank was killed when the tank fell on him.
FY 2012,11/12/2011,11/8/2011,"Brillion Iron Works, Brillion, WI 54110",Worker adjusting a limit switch on a molding machine died after he was struck by the machine and fell 6 feet to the floor.
FY 2012,11/12/2011,11/10/2011,"Kokosing Construction Company, Inc., Brecksville, OH 44141",Worker setting up a traffic control board was struck and killed by a semi-truck.
FY 2012,11/19/2011,10/8/2011,"Built Rite Contracting Corp., New York, NY 10021",Worker was struck and killed by his unoccupied truck as it rolled to the bottom of an incline.
FY 2012,11/19/2011,10/14/2011,"Six Forks Cinema, LLC, Raleigh, NC 27615",Worker fell at movie theater.
FY 2012,11/19/2011,10/15/2011,"Sergio Arroyo-Contreras dba SAC Hands, Gray, TN 37615","Employee fell approximately 18 feet from the roof of a frame residential structure, after striking his head on a trailer jack."
FY 2012,11/19/2011,10/22/2011,"North Star Cable Construction, Inc., Chicago, IL 60651",Worker servicing a cable line died after falling 15 feet to the concrete pavement.
FY 2012,11/19/2011,10/24/2011,"Spartan Steel Coating, Monroe, MI 48162",Maintenance worker adjusting a belt wrapper was crushed between the wrapper and machine frame.
FY 2012,11/19/2011,10/27/2011,"Team Carolinas, Inc., dba Domino's Pizza, China Grove, NC 28023",Pizza delivery worker died from head injuries after falling from front porch striking his head on the sidewalk.
FY 2012,11/19/2011,10/29/2011,"Arcelor Mittal, Burns Harbor, IN 46304",Worker died from burns after a steam pipe erupted.
FY 2012,11/19/2011,10/31/2011,"Irving Diedrich Construction, Chehalis, WA 98223",Worker repairing a dry-rotted roof died when he fell 30 feet through a hole.
FY 2012,11/19/2011,11/1/2011,"Cenveo West Inc., Kent, WA 98032",Worker died from head trauma after falling while climbing pallet racks to pick orders of envelopes.
FY 2012,11/19/2011,11/6/2011,"Dick's Drive In, Seattle, WA 98109",Janitor fell and struck head.
FY 2012,11/19/2011,11/7/2011,"Adams Thermal Systems, Inc., Canton, SD 57013",Worker doing maintenance on machinery died after being caught between the machine and a moving part.
FY 2012,11/19/2011,11/8/2011,"SP&K Construction, Inc., Brooklyn, NY 11235",One worker died and three others were hospitalized when multiple floors collapsed in the structure where they were pouring concrete.
FY 2012,11/19/2011,11/8/2011,"T. Mar Enterprises S.E., Inc., Brooksville, FL 34604",A construction worker removing paint strips from road was struck and killed by a vehicle.
FY 2012,11/19/2011,11/9/2011,"Black Crow Candle Co., Canton, IL 61520",Worker died after falling 9 feet in an elevator shaft to the basement.
FY 2012,11/19/2011,11/9/2011,"Con-Fab Inc., Morgan City, LA 70380",Maintenance worker trying to remove a hose from a forklift was fatally crushed by the forks when the hydraulic pressure was released.
FY 2012,11/19/2011,11/9/2011,"Town of Lucama, Wilson, NC 27893",Worker attempting to move a service pole while inside a bucket truck died after falling more than 50 feet when the pole fell on the bucket.
FY 2012,11/19/2011,11/11/2011,"FM Home Improvement, Inc., York, PA 17404","Forklift operator was killed when he jumped out of the cab as the forklift tilted sideways, and was struck on the head by the extendable arm of the lift."
FY 2012,11/19/2011,11/11/2011,"Gilyard Enterprises, LLC., Palatka, FL 32177",Worker was struck on the head and killed by a log that fell from his load.
FY 2012,11/19/2011,11/11/2011,"Mamaroneck Tn Hwy Dept., Mamaroneck, NY 10543",Worker was struck and killed by a local government truck in a recycling yard while performing leaf collection.
FY 2012,11/19/2011,11/12/2011,"C-Steel Erectors, Tiki Island, TX 77554","Worker tightening a nut while sitting on a horizontal beam slipped and fell 14 feet, landing on his head and shoulders."
FY 2012,11/19/2011,11/12/2011,"Danco Construction, Inc., Evansville, IN 47715",Worker died after falling six feet from a scissor lift.
FY 2012,11/19/2011,11/12/2011,"E-Light Electrical Services, Oil Center, NM 88040",Solar farm worker died after developing a respiratory ailment (Desert Fever) while working in the field.
FY 2012,11/19/2011,11/12/2011,"J R Excavating, Fairborn, OH 45324","Worker replacing a sewer line inside a trench was killed after natural gas contacted an ignition source, causing an explosion and fire."
FY 2012,11/19/2011,11/13/2011,"Big Lots, Livermore, CA 94551",Worker died after collapsing while working in a home furnishings store.
FY 2012,11/19/2011,11/14/2011,"Century Link, Loveland, CO 80537",Worker died after falling from an extension ladder in the back yard of a residential home.
FY 2012,11/19/2011,11/14/2011,"Evans Contractors, LLC., China, TX 77613","A tractor driver drowned when his tractor flipped over and landed upside down in a ditch, trapping him inside the cab."
FY 2012,11/19/2011,11/14/2011,"Vollers Excavating & Construction, Inc., Newark, NJ 07102",Worker was struck and killed by a vehicle at the edge of a parking lot driveway.
FY 2012,11/19/2011,11/15/2011,"Brookman Iron and Metals, Inc., Washington, PA 15301",Worker was crushed after part of a bulldozer bucket being cut for scrap collapsed on him.
